Name	No Power	Power
Sarah	He told Sarah to work this weekend.	Sarah told him to work this weekend.
Marcus	She made Marcus stay after class.	Marcus made her stay after class.
Elena	They ordered Elena to cancel all the meetings.	Elena ordered them to cancel all the meetings.
Wilson	she sentenced Wilson to five years.	Wilson sentenced her to five years.
Rebecca	Rebecca was fired by him on the spot.	He was fired by Rebecca on the spot.
Chen	They command Chen to stop.	Chen commands them to stop.
David	His sister forbade David from leaving.	David forbade his sister from leaving.
Kim	Lawrence assigned Kim the night shift.	Kim assigned Lawrence the night shift.
Amanda	He demoted Amanda to entry level.	Amanda demoted him to entry level.
Coach Stevens	His friend benched Stevens for the game.	Stevens benched his friend for the game.
Martinez	The board removed Martinez from her position.	Martinez removed the board from their positions.
Thomas	She withheld Thomas's paycheck until Friday.	Thomas withheld her paycheck until Friday.
Alexander	He arrested Alexander at the scene.	Alexander arrested him at the scene.
The official	They deported the official immediately.	The official deported them immediately.
Victoria	He blocked Victoria's promotion to manager.	Victoria blocked his promotion to manager.
Johnson	She placed Johnson in solitary confinement.	Johnson placed her in solitary confinement.
Lee	He confiscated Lee's phone during class.	Lee confiscated his phone during class.
Rivers	She ordered Rivers to abandon ship.	Rivers ordered her to abandon ship.
Michael	Michael's access to the account was cut off by his family.	His family's access to the account was cut off by Michael.
Walsh	He rejected Walsh's manuscript outright.	Walsh rejected his manuscript outright.
Director Hayes	The General revoked Director Hayes's security clearance.	Director Hayes revoked the General's security clearance.
Adams	The company charged Adams with fraud.	Adams charged the company with fraud.
Richard	She forced Richard to sign the contract.	Richard forced her to sign the contract.
The committee	Dr. Singh disqualified the committee's application.	The committee disqualified Dr. Singh's application.
Murphy	The man is ordering Murphy to do push-ups.	Murphy is ordering the man to do push-ups.
Jennifer	Her old friend blocked Jennifer's number on her phone.	Jennifer blocked her old friend's number on her phone.
Jerry	The man seized Jerry's suspicious package.	Jerry seized the man's suspicious package.
Brooks	The manager mandated Brooks's attendance at the meeting.	Brooks mandated the manager's attendance at the meeting.
Collins	She ejects Collins from the game.	Collins ejects her from the game.
Supervisor White	Supervisor White's request for time off has been denied by Emmanuel.	Emmanuel's request for time off has been denied by Supervisor White.
Chen	The company deleted Chen's account permanently.	Chen deleted the company's account permanently.
Morocco	They will invade Morocco immediately.	Morocco will invade them immediately.
Bolivia	The country imposed sanctions against Bolivia.	Bolivia imposed sanctions against the country.
The guard	Someone prevented the guard from entering the building.	The guard prevented Ahmed from entering the building.
Colonel Thompson	She will demote Colonel Thompson to lower rank.	Colonel Thompson will demote her to lower rank.
Lewis	Lewis was banned from the forum by the hosts.	The hosts were banned from the forum by Lewis.
Kim	He is requiring Kim to attend the session.	Kim is requiring him to attend the session.
Patrick	The house imposed a curfew on Patrick.	Patrick imposed a curfew on the house.
Hughes	She blocked Hughes's pay raise permanently.	Manager Hughes blocked her pay raise permanently.
Brown	Brown's vehicle was impounded yesterday by the city.	The city's vehicle was impounded yesterday by Brown.
Grant	She censored Grant's speech at the event.	Grant censored her speech at the event.
Principal Moore	He forced Principal Moore to apologize publicly.	Principal Moore forced him to apologize publicly.
Garcia	Louis docked Garcia's pay for being late.	Garcia docked Louis's pay for being late.
Taylor	She revoked Taylor's driving privileges.	Taylor revoked her driving privileges.
The company	They removed the company from the platform.	The company removed them from the platform.
Nguyen	The employee is reassigning Nguyen to another department.	Nguyen is reassigning the employee to another department.
Brian	Brian's credit card has been cancelled immediately by Alice.	Alice's credit card has been cancelled immediately by Brian.
Scott	The soldier confined Scott to quarters.	Scott confined the soldier to quarters.
Peterson	Swanson disqualified Peterson from the competition.	Peterson disqualified Swanson from the competition.
Dr. Williams	He committed Dr. Williams to psychiatric care.	Dr. Williams committed him to psychiatric care.
Chairman Lee	She stripped Chairman Lee of his title.	Chairman Lee stripped her of her title.
Jones	He suspended Jones's privileges immediately.	Jones suspended his privileges immediately.
The director	They prohibited the director from speaking to the press.	The director prohibited them from speaking to the press.
Jackson	Jones restrained Jackson with handcuffs.	Jackson restrained Jones with handcuffs.
Sullivan	Sullivan's office space has been requisitioned by the company.	The company's office space has been requisitioned by Sullivan.
Barnes	She barred Barnes from school grounds.	Barnes barred her from school grounds.
