 Context	Combined	Person A Power	Person B No Power
Mental Power	Person A glanced at the chessboard for three seconds, then called out the winning sequence while Person B was still planning their next move.	Person A glanced at the chessboard for three seconds, then called out the winning sequence.	Person B was still studying the chessboard, planning their next move.
Mental Power	Person B spent an hour explaining the theory, but Person A had already sketched the complete solution on the whiteboard.	Person A had already sketched the complete solution on the whiteboard.	Person B spent an hour explaining the theory on the whiteboard.
Mental Power	While Person B consulted reference books, Person A recited the entire legal code from memory during their debate.	Person A recited the entire legal code from memory during the debate.	Person B consulted reference books during the debate.
Mental Power	Person A identified the flaw in Person B's month-long research within minutes of hearing the presentation.	Person A identified the flaw in the month-long research within minutes of hearing the presentation.	Person B presented their month-long research.
Mental Power	Person B struggled with the foreign contract's nuances, but Person A translated and negotiated in flawless Mandarin without hesitation.	Person A translated and negotiated the foreign contract in flawless Mandarin without hesitation.	Person B struggled with the foreign contract's nuances.
Mental Power	Person A predicted every counterargument Person B would raise before they finished their opening statement.	Person A predicted every counterargument before the opening statement finished.	Person B was finishing their opening statement.
Mental Power	While Person B rewrote their code repeatedly, Person A debugged the entire system by reading through it once.	Person A debugged the entire system by reading through the code once.	Person B rewrote their code repeatedly.
Mental Power	Person A absorbed Person B's 300-page technical manual during their lunch break and corrected three errors in it.	Person A absorbed the 300-page technical manual during lunch and corrected three errors in it.	Person B had written the 300-page technical manual.
Mental Power	Person B asked a riddle at breakfast, but Person A had already written out five different solutions before noon.	Person A had already written out five different solutions to the breakfast riddle before noon.	Person B asked the riddle at breakfast.
Mental Power	While Person B traced the logic error through diagnostics, Person A spotted the root cause from across the room.	Person A spotted the root cause of the logic error from across the room.	Person B traced the logic error through diagnostics.
Mental Power	Person A learned Person B's constructed language in two weeks and composed poetry in it fluently.	Person A learned the constructed language in two weeks and composed poetry in it fluently.	Person B had constructed the language.
Mental Power	Person B spent days mapping the network architecture, but Person A visualized the entire system after one walkthrough.	Person A visualized the entire network system after one walkthrough.	Person B spent days mapping the network architecture.
Mental Power	Person A anticipated Person B's negotiation strategy and prepared counters for arguments they hadn't voiced yet.	Person A anticipated the negotiation strategy and prepared counters for unvoiced arguments.	Person B hadn't voiced their negotiation arguments yet.
Mental Power	While Person B consulted their notes during the trial, Person A cited case precedents from fifteen years back without pausing.	Person A cited case precedents from fifteen years back without pausing during the trial.	Person B consulted their notes during the trial.
Mental Power	Person A decoded Person B's encrypted message before Person B finished explaining the cipher system.	Person A decoded the encrypted message before the cipher system explanation finished.	Person B was finishing explaining the cipher system.
Mental Power	Person B outlined their business plan over hours, but Person A identified the market gap in the first five minutes.	Person A identified the market gap in the business plan within the first five minutes.	Person B outlined their business plan over hours.
Mental Power	While Person B reviewed the financial statements with calculators, Person A tallied the discrepancies mentally.	Person A tallied the financial discrepancies mentally while reviewing the statements.	Person B reviewed the financial statements with calculators.
Mental Power	Person A mastered Person B's musical composition after hearing it once and performed variations on the theme.	Person A mastered the musical composition after hearing it once and performed variations on the theme.	Person B had composed the musical piece.
Mental Power	Person B studied the city map all morning, but Person A navigated the entire route from memory after a single glance.	Person A navigated the entire city route from memory after a single glance at the map.	Person B studied the city map all morning.
Mental Power	While Person B drafted responses to the crisis, Person A had already modeled twelve scenarios and their outcomes.	Person A had already modeled twelve crisis scenarios and their outcomes.	Person B was drafting responses to the crisis.
Mental Power	Person A grasped the implications of Person B's scientific discovery before they finished describing the experiment.	Person A grasped the implications of the scientific discovery before the experiment description finished.	Person B was describing their scientific experiment.
Mental Power	Person B spent weeks learning the card game's strategies, but Person A won every hand on their first day.	Person A won every hand of the card game on their first day.	Person B spent weeks learning the card game's strategies.
Mental Power	While Person B transcribed the meeting notes, Person A recounted every discussion point verbatim without recording.	Person A recounted every discussion point verbatim without recording the meeting.	Person B was transcribing the meeting notes.
Mental Power	Person A read Person B's dissertation proposal and restructured the entire argument while they waited for coffee.	Person A read the dissertation proposal and restructured the entire argument while waiting for coffee.	Person B had written the dissertation proposal.
Mental Power	Person B explained their invention's mechanism for an hour, but Person A had sketched improvements within minutes.	Person A had sketched improvements to the invention within minutes of hearing its mechanism.	Person B explained their invention's mechanism for an hour.
Mental Power	While Person B searched databases for the reference, Person A quoted the exact passage and page number.	Person A quoted the exact passage and page number from memory.	Person B was searching databases for the reference.
Mental Power	Person A diagnosed the patient's rare condition while Person B was still reviewing the initial symptoms.	Person A diagnosed the patient's rare condition from the initial symptoms.	Person B was still reviewing the patient's initial symptoms.
Mental Power	Person B practiced the presentation for days, but Person A absorbed their entire field of study over a weekend.	Person A absorbed the entire field of study over a weekend.	Person B practiced the presentation for days.
Mental Power	While Person B used translation software, Person A conversed seamlessly in four languages during the summit.	Person A conversed seamlessly in four languages during the summit.	Person B used translation software during the summit.
Mental Power	Person A synthesized Person B's fragmented research into a unified theory during their first conversation.	Person A synthesized the fragmented research into a unified theory during the first conversation.	Person B had fragmented research notes.
Mental Power	Person B outlined their strategy over several meetings, but Person A had mapped all potential responses immediately.	Person A had mapped all potential responses to the strategy immediately.	Person B outlined their strategy over several meetings.
Mental Power	While Person B cross-referenced sources, Person A identified the historical pattern connecting seven different events.	Person A identified the historical pattern connecting seven different events.	Person B was cross-referencing sources.
Mental Power	Person A learned Person B's entire codebase architecture in an afternoon and refactored it by evening.	Person A learned the entire codebase architecture in an afternoon and refactored it by evening.	Person B had written the codebase.
Mental Power	Person B spent months analyzing market trends, but Person A predicted the crash from a single data anomaly.	Person A predicted the market crash from a single data anomaly.	Person B spent months analyzing market trends.
