model,pair_id,category,order,sentence_a,sentence_b,correct_answer,model_answer,raw_response
llama-3b-instruct,pair_001,cognitive,A_first,"Person A glanced at the chessboard for three seconds, then called out the winning sequence.","Person B was still studying the chessboard, planning their next move.",Yes,No,No
llama-3b-instruct,pair_007,cognitive,A_first,Person A debugged the entire system by reading through the code once.,Person B rewrote their code repeatedly.,Yes,No,No
llama-3b-instruct,pair_008,cognitive,A_first,Person A absorbed the 300-page technical manual during lunch and corrected three errors in it.,Person B had written the 300-page technical manual.,Yes,No,No
llama-3b-instruct,pair_010,cognitive,A_first,Person A spotted the root cause of the logic error from across the room.,Person B traced the logic error through diagnostics.,Yes,No,No
llama-3b-instruct,pair_011,cognitive,A_first,Person A learned the constructed language in two weeks and composed poetry in it fluently.,Person B had constructed the language.,Yes,No,No
llama-3b-instruct,pair_012,cognitive,A_first,Person A visualized the entire network system after one walkthrough.,Person B spent days mapping the network architecture.,Yes,No,No
llama-3b-instruct,pair_017,cognitive,A_first,Person A tallied the financial discrepancies mentally while reviewing the statements.,Person B reviewed the financial statements with calculators.,Yes,No,No
llama-3b-instruct,pair_018,cognitive,A_first,Person A mastered the musical composition after hearing it once and performed variations on the theme.,Person B had composed the musical piece.,Yes,No,No
llama-3b-instruct,pair_019,cognitive,A_first,Person A navigated the entire city route from memory after a single glance at the map.,Person B studied the city map all morning.,Yes,No,No
llama-3b-instruct,pair_023,cognitive,A_first,Person A recounted every discussion point verbatim without recording the meeting.,Person B was transcribing the meeting notes.,Yes,No,No
llama-3b-instruct,pair_032,cognitive,A_first,Person A identified the historical pattern connecting seven different events.,Person B was cross-referencing sources.,Yes,No,No
llama-3b-instruct,pair_035,cognitive,A_first,Person A taught themselves quantum mechanics from textbooks in three days.,Person B was consulting experts on quantum mechanics.,Yes,No,No
llama-3b-instruct,pair_039,cognitive,A_first,Person A mastered the experimental technique after watching it performed twice.,Person B performed the experimental technique.,Yes,No,No
llama-3b-instruct,pair_040,cognitive,A_first,Person A navigated the wilderness using star positions and terrain features.,Person B needed GPS and maps for wilderness navigation.,Yes,No,No
